id,equip_coordonnees,inst_numero,inst_nom,equip_type_name,equip_type_famille,aps_name,equip_acc_libre,equip_url,inst_adresse,new_code,equip_prop_nom,equip_gest_type,inst_acc_handi_bool
83246,"{'lon': 5.393126, 'lat': 43.257739}",I132080071,LYCEE PROFESSIONNEL FREDERIC MISTRAL,Salle multisports (gymnase),Salle multisports,"['Badminton', 'Jeu de volant', 'Basket-Ball', 'Handball / Mini hand / Handball de plage', 'Volley-ball / Volley-ball de plage (beach-volley) / Green-Volley']",false,,48 Boulevard de Saint-Anne,13208,,Etablissement Public,false
83247,"{'lon': 5.387383, 'lat': 43.185767}",I132080076,MER MEDITERANNEE SITES DE PLONGEE ILE PLANE,Site de plongée,Site d'activités aquatiques et nautiques,"[""Plongée d'exploration / Photographie subaquatique"", 'Plongée en apnée', 'Plongée subaquatique (Plongée libre)', 'Pêche sous marine']",true,,,13208,,Etat,false
83248,"{'lon': 5.4369, 'lat': 43.26729}",I132100006,SITE D'ESCALADE DU MONT ROUVIERE,Site d'escalade en falaise,Divers équipements Sports de nature,['Escalade'],true,,SAINT TRONC,13210,,Privé non commercial,false
83249,"{'lon': 5.41194, 'lat': 43.2788}",I132100011,CLUB BOULISTE LA CAPELETTE,Terrain de boules,Boulodrome,['Pétanque et jeu provencal'],false,,AVENUE DE LA CAPELETTE,13210,,Commune,false
83250,"{'lon': 5.48588, 'lat': 43.29969}",I132110001,STADE SPORTIF LA JOUVENE,Stade d’athlétisme,Equipement d'athlétisme,"['Course sur piste', 'Lancer', 'Saut']",false,,RUE RAYMOND PITTET,13211,,Commune,true
83251,"{'lon': 5.4745276, 'lat': 43.2925823}",I132110007,KEEP COOL Valentine 1,Salle de musculation/cardiotraining,Equipement d'activités de forme et de santé,['Musculation'],false,www.keepcool.fr,20 traverse de la montre,13211,,Etablissement privé commercial,true
83252,"{'lon': 5.48147, 'lat': 43.28536}",I132110010,CENTRE MUNICIPAL DE LA BARASSE,Dojo / Salle d'arts martiaux,Salle de combat,['Judo / Jujitsu / Taïso'],false,,100 BD DE LA BARASSE,13211,,Commune,false
83253,"{'lon': 5.429486, 'lat': 43.288609}",I132110019,BOULES SOCIALES D'AIR BEL,Terrain de boules,Boulodrome,['Pétanque et jeu provencal'],true,,1 BD BEZOMBES,13211,,Commune,false
83254,"{'lon': 5.47089, 'lat': 43.28513}",I132110028,GYMNASE SPORTIF FORBIN,Salle multisports (gymnase),Salle multisports,"['Badminton', 'Jeu de volant', 'Basket-Ball', 'Handball / Mini hand / Handball de plage', 'Volley-ball / Volley-ball de plage (beach-volley) / Green-Volley']",false,,286 BD DE SAINT MARCEL,13211,,Commune,false
83255,"{'lon': 5.51028, 'lat': 43.2829}",I132110033,STADE SAINT MENET MOUTON,Terrain mixte,Terrain de grands jeux,"['Football Américain / Flag', 'Hockey en salle / Hockey sur gazon', 'Rugby à 13 / Rugby à 7', 'Rugby à 15 / Rugby à 7']",false,,3 CHEMIN DU MOUTON,13211,,Commune,true
83256,"{'lon': 5.511938, 'lat': 43.287526}",I132110034,ECOLE MIXTE LA REYNARDE,Multisports/City-stades,Multisports/City-stades,,false,,196 TRAVERSE LA REYNARDE,13211,,Commune,false
83257,"{'lon': 5.48843, 'lat': 43.29708}",I132110035,GYMNASE DU RUISSATEL LA VALENTINE,Salle multisports (gymnase),Salle multisports,"['Basket-Ball', 'Handball / Mini hand / Handball de plage', 'Volley-ball / Volley-ball de plage (beach-volley) / Green-Volley']",false,,69 RUE DE L AUDIENCE,13211,,Commune,true
83258,"{'lon': 5.4613, 'lat': 43.28149}",I132110042,LES NEREIDES,Site d'escalade en falaise,Divers équipements Sports de nature,['Escalade sur Via ferrata/Corda'],true,,SAINT MARCEL,13211,,Commune,false
83259,"{'lon': 5.4407, 'lat': 43.298786}",I132120013,STADE GRANDE BASTIDE CAZAUX,Terrain de football,Terrain de grands jeux,['Football / Football en salle (Futsal)'],false,,ALLEE DE LA GRANDE BASTIDE CAZAUX,13212,,Commune,true
83260,"{'lon': 5.460755, 'lat': 43.304302}",I132120015,CENTRE D'ENTRAINEMENT ROBERT LOUIS DREYFUS,Terrain de football,Terrain de grands jeux,['Football / Football en salle (Futsal)'],false,,TRAVERSE LA MARTINE,13212,,Commune,true
83261,"{'lon': 5.431011, 'lat': 43.306097}",I132120020,COMPLEXE SPORTIF LA ROSIERE KALLISTE,Terrain de football,Terrain de grands jeux,['Football / Football en salle (Futsal)'],false,,32 AVENUE KALLISTE,13212,,Commune,true
83262,"{'lon': 5.4189, 'lat': 43.30287}",I132120032,CERCLE DE SAINT BARNABE,Salles polyvalentes / des fêtes / non spécialisées,Salle non spécialisée,['Gymnastique volontaire'],false,,PLACE CAIRE,13212,,Association(s),false
83263,"{'lon': 5.45169, 'lat': 43.31007}",I132120045,TENNIS LA GENETIERE,Court de tennis,Court de tennis,['Tennis'],false,,BD DE LA MARNE,13212,,Commune,false
83264,"{'lon': 5.3791080000000004, 'lat': 43.352378}",I132140001,CENTRE SPORTIF DEPARTEMENTAL DE FONTAINIEU,Terrain de football,Terrain de grands jeux,['Football / Football en salle (Futsal)'],true,,75 CHEMIN DE FONTAINIEU QUARTIER SAINT JOSEPH,13214,,Département,false
83265,"{'lon': 5.399112, 'lat': 43.336993}",I132140020,TENNIS AMICALE RICARD SPORTS,Court de tennis,Court de tennis,['Tennis'],false,,81 BD ANATOLE DE LA FORGE,13214,,Etablissement privé commercial,false
83266,"{'lon': 5.39259, 'lat': 43.31671}",I132140021,GYMNASE GIBRALTAR,Salle multisports (gymnase),Salle multisports,"['Basket-Ball', 'Boxe Anglaise', 'Gymnastique Artistique', 'Handball / Mini hand / Handball de plage', 'Judo / Jujitsu / Taïso', 'Karaté/Karaté jutsu/Goshin jutsu/Kobudo/Nihon Tai-jutsu/Taijitsu/Nambudo/Ninjutsu/Nunchaku/...', 'Lutte traditionnelle / olympique libre / olympique gréco-romaine /  bretonne / féminine', 'Tennis', 'Tennis de table', 'Volley-ball / Volley-ball de plage (beach-volley) / Green-Volley']",false,,TRAVERSE DE GIBRALTAR,13214,,Commune,true
83267,"{'lon': 5.38821, 'lat': 43.32405}",I132140035,COMPLEXE ST GABRIEL LA MARINE,Salle multisports (gymnase),Salle multisports,"['Basket-Ball', 'Boxe Anglaise', 'Escrime (Epée / Fleuret / Sabre )', 'Gymnastique Artistique', 'Judo / Jujitsu / Taïso', 'Karaté/Karaté jutsu/Goshin jutsu/Kobudo/Nihon Tai-jutsu/Taijitsu/Nambudo/Ninjutsu/Nunchaku/...', 'Lutte traditionnelle / olympique libre / olympique gréco-romaine /  bretonne / féminine', 'Tennis de table', 'Volley-ball / Volley-ball de plage (beach-volley) / Green-Volley']",false,,101 CHEMIN STE MARTHE,13214,,Commune,true
83268,"{'lon': 5.377, 'lat': 43.36766}",I132150001,PISCINE LAMARTINE,Bassin mixte de natation,Bassin de natation,"['Baignade loisirs', 'Natation course sportive', 'Water-Polo']",,,RUE PALANQUE,13215,,Commune,true
83269,"{'lon': 5.35517, 'lat': 43.35205}",I132150002,STADE RIVES VERTES,Terrain de volley-ball,Terrain extérieur de petits jeux collectifs,['Volley-ball / Volley-ball de plage (beach-volley) / Green-Volley'],false,,88 CHEMIN DE ST LOUIS DU ROVE,13215,,Commune,true
83270,"{'lon': 5.34259, 'lat': 43.368731}",I132150032,Mini Foot La Bricarde,Terrain de football,Terrain de grands jeux,['Football / Football en salle (Futsal)'],true,,Avenue Henri Barnier,13215,,Commune,true
83271,"{'lon': 5.365799, 'lat': 43.385044}",I132150056,Minifoot les Bourrely,Multisports/City-stades,Multisports/City-stades,"['Basket-Ball', 'Football / Football en salle (Futsal)', 'Handball / Mini hand / Handball de plage']",true,,Parc Kallyste,13215,,Commune,true
83272,"{'lon': 5.32968, 'lat': 43.36}",I132160009,LYCEE L'ESTAQUE,Multisports/City-stades,Multisports/City-stades,"['Basket-Ball', 'Football / Football en salle (Futsal)', 'Handball / Mini hand / Handball de plage', 'Volley-ball / Volley-ball de plage (beach-volley) / Green-Volley']",false,,310 Rue Rabelais,13216,,Etablissement Public,true
83273,"{'lon': 5.316832, 'lat': 43.359033}",I132160012,CERCLE DE L'AVIRON DE MARSEILLE,Tank à ramer,Site d'activités aquatiques et nautiques,['Aviron'],false,,1 PLAGE DE L'ESTAQUE,13216,,Association(s),false
83274,"{'lon': 5.29234, 'lat': 43.3581}",I132160017,CENTRE MUNICIPAL VOILE DE CORBIERES,Site d'activités aquatiques et nautiques,Site d'activités aquatiques et nautiques,"['Aviron', 'Dériveur / Multicoques / Courses océaniques / au large / Voile modèle / traditionnelle /match racing']",false,,250 PLAGE DE L'ESTAQUE,13216,,Commune,false
83279,"{'lon': 4.9867, 'lat': 43.4922}",I130470039,PLATEAU SCOLAIRE PIERRE MENDES FRANCE,Multisports/City-stades,Multisports/City-stades,"['Basket-Ball', 'Handball / Mini hand / Handball de plage']",false,,AVENUE FELIX GOUIN,13047,,Commune,false
83280,"{'lon': 5.03028, 'lat': 43.79331}",I130670013,COLLEGE MONT SAUVY,Salle multisports (gymnase),Salle multisports,"['Badminton', 'Jeu de volant', 'Basket-Ball', 'Football / Football en salle (Futsal)', 'Handball / Mini hand / Handball de plage', 'Volley-ball / Volley-ball de plage (beach-volley) / Green-Volley']",false,,AVENUE LIEUTENANT COLONEL NOEL REYNAUD,13067,,EPCI,true
83281,"{'lon': 4.6635, 'lat': 43.8142}",I131080019,ECOLE ELEMENTAIRE MARCEL PAGNOL,Salle multisports (gymnase),Salle multisports,"['Basket-Ball', 'Gymnastique Artistique', 'Tennis']",false,,AVENUE SEVERINE,13108,,Commune,false
83282,"{'lon': 4.66304588526, 'lat': 43.8017219174}",I131080024,Lycée Alphonse Daudet,Salle multisports (gymnase),Salle multisports,"['Badminton', 'Jeu de volant', 'Basket-Ball', 'Football / Football en salle (Futsal)', 'Gymnastique Artistique', 'Handball / Mini hand / Handball de plage', 'Musculation', 'Tennis de table', 'Volley-ball / Volley-ball de plage (beach-volley) / Green-Volley']",false,,Boulevard Jules Ferry,13108,,Etablissement Public,true
83283,"{'lon': 5.2776, 'lat': 43.4219}",I131170022,ECOLE PICASSO,Terrain de handball,Terrain extérieur de petits jeux collectifs,['Handball / Mini hand / Handball de plage'],false,,4 RUE DE LA BARGELADE,13117,,Commune,true
83284,"{'lon': 5.2448, 'lat': 43.4475}",I131170027,ECOLE PRIMAIRE PLAN DE LA COUR,Multisports/City-stades,Multisports/City-stades,['Basket-Ball'],false,,QUARTIER PLAN DE COUR,13117,,Commune,true
83285,"{'lon': 5.56437, 'lat': 43.2546}",I131190005,STADE ECOLE FREDERIC MISTRAL,Multisports/City-stades,Multisports/City-stades,"['Basket-Ball', 'Handball / Mini hand / Handball de plage']",false,,AVENUE SAINT EXUPERY,13119,,Commune,true
83286,"{'lon': 5.3659, 'lat': 43.2351}",I132080032,GYMNASE GROTTE ROLAND,Salle multisports (gymnase),Salle multisports,"['Basket-Ball', 'Handball / Mini hand / Handball de plage', 'Volley-ball / Volley-ball de plage (beach-volley) / Green-Volley']",false,,18 BD DES SALYEMS,13208,,Commune,false
83287,"{'lon': 5.44962, 'lat': 43.3152}",I132120039,École Élémentaire Saint Julien,Multisports/City-stades,Multisports/City-stades,['Handball / Mini hand / Handball de plage'],false,,BD DE LA COMTESSE,13212,,Commune,false
83288,"{'lon': 5.381245, 'lat': 43.331479}",I132140014,École Canet Jean Jaurès,Multisports/City-stades,Multisports/City-stades,['Football / Football en salle (Futsal)'],false,,22  Rue Marathon / Rue du Muret,13214,,Commune,true
83289,"{'lon': 5.4073, 'lat': 43.33455}",I132140030,GYMNASE SCOLAIRE MERLAN CERISAIE,Salle multisports (gymnase),Salle multisports,,false,,70 AVENUE DU MERLAN / boulevard de Santa Cruz,13214,,Commune,true
