id,equip_coordonnees,inst_numero,inst_nom,equip_type_name,equip_type_famille,aps_name,equip_acc_libre,equip_url,inst_adresse,new_code,equip_prop_nom,equip_gest_type,inst_acc_handi_bool
178294,"{'lon': 4.94638695, 'lat': 43.70645365}",I130060004,ECOLE COMMUNALE,Multisports/City-stades,Multisports/City-stades,"['Football / Football en salle (Futsal)', 'Handball / Mini hand / Handball de plage']",true,,PLACE DES ECOLES,13006,,Commune,true
178298,"{'lon': 5.642162, 'lat': 43.372856}",I130070015,TERRAIN MULTISPORTS ECOLE LOUIS ARAGON,Multisports/City-stades,Multisports/City-stades,"['Basket-Ball', 'Handball / Mini hand / Handball de plage']",false,,LA BARDELINE,13007,,Commune,true
178383,"{'lon': 5.469689, 'lat': 43.516916}",I130010102,INSTALLATIONS SPORTIVES ECOLE DU VAL ST ANDRE,Terrain de handball,Terrain extérieur de petits jeux collectifs,['Handball / Mini hand / Handball de plage'],false,,75 Rue  Edmond Michelet,13001,,Commune,false
178384,"{'lon': 5.455728, 'lat': 43.516635}",I130010114,INSTALLATION SPORTIVES ECOLES DE CUQUES,Terrain de handball,Terrain extérieur de petits jeux collectifs,['Handball / Mini hand / Handball de plage'],true,,1 RUE DE CUQUES,13001,,Commune,false
178385,"{'lon': 5.429576, 'lat': 43.563419}",I130010117,INSTALLATION SPORTIVES ECOLE ET CENTRE AERE DE COUTHERON,Multisports/City-stades,Multisports/City-stades,"['Basket-Ball', 'Handball / Mini hand / Handball de plage', 'Tennis', 'Volley-ball / Volley-ball de plage (beach-volley) / Green-Volley']",true,,ROUTE PUYRICARD  HAMEAU DE COUTHERON,13001,,Commune,false
178388,"{'lon': 5.602814, 'lat': 43.172862}",I130280020,COLLEGE JEAN JAURES,Salle multisports (gymnase),Salle multisports,"['Badminton', 'Jeu de volant', 'Basket-Ball', 'Handball / Mini hand / Handball de plage', 'Volley-ball / Volley-ball de plage (beach-volley) / Green-Volley']",false,,55 Boulevard Bertolucci,13028,,Département,false
178392,"{'lon': 4.9791, 'lat': 43.4924}",I130470032,PLATEAU SCOLAIRE DU CLOS DE LA ROCHE,Terrain de basket-ball,Terrain extérieur de petits jeux collectifs,['Basket-Ball'],false,,HAMEAU ST FELIX RASSUEN,13047,,Commune,false
178393,"{'lon': 5.08862, 'lat': 43.70042}",I130490003,PLATEAU EPS ECOLE PRIMAIRE,Multisports/City-stades,Multisports/City-stades,"['Basket-Ball', 'Handball / Mini hand / Handball de plage']",false,,Allée des Ecoles,13049,,Commune,true
178437,"{'lon': 5.15417, 'lat': 43.63524}",I130690006,L'ecole de la gare,Multisports/City-stades,Multisports/City-stades,"['Basket-Ball', 'Football / Football en salle (Futsal)', 'Handball / Mini hand / Handball de plage']",,,Avenue Frédéric Mistral,13069,,,true
178555,"{'lon': 5.43429, 'lat': 43.66237}",I130800007,COLLEGE LOUIS PHILIBERT,Salle multisports (gymnase),Salle multisports,"['Badminton', 'Jeu de volant', 'Basket-Ball', 'Escalade', 'Handball / Mini hand / Handball de plage', 'Volley-ball / Volley-ball de plage (beach-volley) / Green-Volley']",false,,1 Allee des Tilleuls,13080,,Département,true
178611,"{'lon': 5.3907, 'lat': 43.25899}",I132080057,LYCEE MISTRAL,Multisports/City-stades,Multisports/City-stades,"['Basket-Ball', 'Handball / Mini hand / Handball de plage']",false,,BD DE SAINTE ANNE,13208,,Région,false
178640,"{'lon': 5.44678, 'lat': 43.308483}",I132120009,COLLEGE DES CAILLOLS,Stade d’athlétisme,Equipement d'athlétisme,"['Course sur piste', 'Lancer', 'Saut']",false,,TRAVERSE DE LA SARIETTE,13212,,Commune,true
178643,"{'lon': 5.421545, 'lat': 43.314218}",I132120024,LYCEE TECHNIQUE BLAISE PASCAL,Multisports/City-stades,Multisports/City-stades,,false,,49 TRAVERSE CAPRON,13212,,Région,false
178647,"{'lon': 5.411503, 'lat': 43.2992}",I132120036,COLLEGE LOUIS ARMAND,Multisports/City-stades,Multisports/City-stades,,false,,30 Boulevard louis Armand,13212,,Département,false
178712,"{'lon': 5.3771, 'lat': 43.30675}",I132030009,ECOLE MATERNELLE STRASBOURG,Multisports/City-stades,Multisports/City-stades,,false,,56 BOULEVARD DE STRASBOURG,13203,,Commune,false
